clinic_id,name,address,phone
1,Vitality Medical Center,"Ranelagh, Dublin",020 915 3356
2,Healthwise Clinic,"Ballycastle, Mayo",020 912 4336
3,Oasis Medical Practice,"Dun Laoghaire, Dublin",020 918 1168
4,Lifecare Medical Group,"Killybegs, Donegal",020 913 0830
5,Sunnyside Family Health,"Clontarf, Dublin",020 910 0495
6,Unity Medical Associates,"Youghal, Cork",020 915 5050
7,Pioneer Family Practice,"Dungarvan, Waterford",020 915 3356
8,Premier Care Medical Center,"Portmarnock, Dublin",020 912 4336
9,Grace Medical Clinic,"Lahinch, Clare",020 918 1168
10,Starlight Health Services,"Malahide, Dublin",020 913 0830
11,Fountain Valley Family Practice,"Rathmines, Dublin",020 910 0495
12,Summit Medical Group,"Bundoran, Donegal",020 915 5050
13,Harmony Healthcare,"Killarney, Kerry",020 915 3356
14,Family First Medical Center,"Lucan, Dublin",020 912 4336
15,Sage Medical Associates,"Kenmare, Kerry",020 918 1168
16,Maple Leaf Medical Clinic,"Blackrock, Dublin",020 913 0830
17,Solace Medical Care,"Tramore, Waterford",020 910 0495
18,Haven Healthcare,"New Ross, Wexford",020 915 5050
19,Oceanview Family Medical,"Howth, Dublin",020 913 0830
20,Northshore Medical Practice,"Westport, Mayo",020 910 0495
21,Golden Gate Health Partners,"Skerries, Dublin",020 915 5050
22,Coastal Medical Clinic,"Greystones, Wicklow",020 915 3356
23,Parkview Medical Group,"Portrush, Antrim",020 912 4336
24,Wellness Medical Center,"Kinsale, Cork",020 918 1168
25,Pineview Health Associates,"Drogheda, Louth",020 913 0830
26,Lakeside Medical Care,"Castlebar, Mayo",020 910 0495
27,Evergreen Family Medicine,"Kilkee, Clare",020 915 5050
28,Greenleaf Medical Center,"Dalkey, Dublin",020 913 0830
29,Compass Medical Group,"Dingle, Kerry",020 910 0495
30,Clearwater Family Clinic,"Enniscrone, Sligo",020 915 5050
